name,age,keyword,is_crawled,scrawled_count
Đoàn Thị Lê An,44,Đại biểu quốc hội Đoàn Thị Lê An,True,47
Dương Văn An,52,Đại biểu quốc hội Dương Văn An,True,48
Lê Thị Song An,45,Đại biểu quốc hội Lê Thị Song An,True,39
Nguyễn Văn An,54,Đại biểu quốc hội Nguyễn Văn An,True,63
Trần Thị Hồng An,51,Đại biểu quốc hội Trần Thị Hồng An,True,41
Trịnh Xuân An,41,Đại biểu quốc hội Trịnh Xuân An,True,64
Phạm Đức Ấn,53,Đại biểu quốc hội Phạm Đức Ấn,True,42
Bế Trung Anh,56,Đại biểu quốc hội Bế Trung Anh,True,65
Lê Hoàng Anh,49,Đại biểu quốc hội Lê Hoàng Anh,True,57
Nguyễn Hải Anh,55,Đại biểu quốc hội Nguyễn Hải Anh,True,33
Nguyễn Thị Kim Anh,50,Đại biểu quốc hội Nguyễn Thị Kim Anh,True,48
Nguyễn Thị Lan Anh,42,Đại biểu quốc hội Nguyễn Thị Lan Anh,True,59
Nguyễn Thúy Anh,59,Đại biểu quốc hội Nguyễn Thúy Anh,True,54
Nguyễn Trúc Anh,48,Đại biểu quốc hội Nguyễn Trúc Anh,True,51
Nguyễn Tuấn Anh,58,Đại biểu quốc hội Nguyễn Tuấn Anh,True,93
Trần Tuấn Anh,59,Đại biểu quốc hội Trần Tuấn Anh,True,55
Trần Việt Anh,47,Đại biểu quốc hội Trần Việt Anh,True,40
Trịnh Thị Tú Anh,42,Đại biểu quốc hội Trịnh Thị Tú Anh,True,49
Vũ Tuấn Anh,53,Đại biểu quốc hội Vũ Tuấn Anh,True,47
Dương Minh Ánh,47,Đại biểu quốc hội Dương Minh Ánh,True,54
Trương Thị Ngọc Ánh,56,Đại biểu quốc hội Trương Thị Ngọc Ánh,True,59
Đồng Ngọc Ba,50,Đại biểu quốc hội Đồng Ngọc Ba,True,64
Tống Văn Băng,48,Đại biểu quốc hội Tống Văn Băng,True,73
Nguyễn Ngọc Bảo,56,Đại biểu quốc hội Nguyễn Ngọc Bảo,True,38
Nguyễn Thị Kim Bé,54,Đại biểu quốc hội Nguyễn Thị Kim Bé,True,69
Đỗ Thanh Bình,56,Đại biểu quốc hội Đỗ Thanh Bình,True,43
Dương Thanh Bình,61,Đại biểu quốc hội Dương Thanh Bình,True,65
Hà Thọ Bình,54,Đại biểu quốc hội Hà Thọ Bình,True,49
Hoàng Văn Bình,52,Đại biểu quốc hội Hoàng Văn Bình,True,31
Nguyễn Hòa Bình,65,Đại biểu quốc hội Nguyễn Hòa Bình,True,27
Phạm Phú Bình,50,Đại biểu quốc hội Phạm Phú Bình,True,42
Phan Thái Bình,48,Đại biểu quốc hội Phan Thái Bình,True,37
Thạch Phước Bình,44,Đại biểu quốc hội Thạch Phước Bình,True,56
Trịnh Minh Bình,45,Đại biểu quốc hội Trịnh Minh Bình,True,40
Nguyễn Thanh Cầm,47,Đại biểu quốc hội Nguyễn Thanh Cầm,True,45
Nguyễn Văn Cảnh,45,Đại biểu quốc hội Nguyễn Văn Cảnh,True,23
Chau Chắc,52,Đại biểu quốc hội Chau Chắc,True,51
Bùi Minh Châu,61,Đại biểu quốc hội Bùi Minh Châu,True,55
Đặng Minh Châu,66,Đại biểu quốc hội Đặng Minh Châu,True,51
Lê Tiến Châu,53,Đại biểu quốc hội Lê Tiến Châu,True,61
Tô Thị Bích Châu,54,Đại biểu quốc hội Tô Thị Bích Châu,True,65
Nguyễn Vân Chi,56,Đại biểu quốc hội Nguyễn Vân Chi,True,35
Đỗ Văn Chiến,60,Đại biểu quốc hội Đỗ Văn Chiến,True,51
Hoàng Hữu Chiến,56,Đại biểu quốc hội Hoàng Hữu Chiến,True,29
Hoàng Duy Chinh,54,Đại biểu quốc hội Hoàng Duy Chinh,True,33
Phạm Thúy Chinh,53,Đại biểu quốc hội Phạm Thúy Chinh,True,44
Hoàng Đức Chính,42,Đại biểu quốc hội Hoàng Đức Chính,True,47
Nguyễn Hữu Chính,59,Đại biểu quốc hội Nguyễn Hữu Chính,True,52
Phạm Minh Chính,64,Đại biểu quốc hội Phạm Minh Chính,True,60
Lê Quốc Chỉnh,54,Đại biểu quốc hội Lê Quốc Chỉnh,True,39
